timestamp,Attleboro,Boston,Braintree,Brockton,Chicopee,Danvers,Easthampton,Fall River,Greenfield,Haverhill,Lawrence,Leominster,Lowell,Martha's Vineyard,Milford,Nantucket,Natick,New Bedford,North Adams,Pittsfield,Plymouth,Revere,Roslindale,South Yarmouth,Southbridge,Springfield,Taunton,Watertown,Wilmington,Worcester
14/07/2015 9:00 AM,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,6.90,999.00,999.00,999.00,0.00,999.00,0.00,0.00,999.00,999.00,999.00,27.40,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00
14/07/2015 9:01 AM,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,9.90,999.00,999.00,999.00,0.00,999.00,0.00,0.00,999.00,999.00,999.00,30.43,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00
14/07/2015 9:02 AM,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,9.90,999.00,999.00,999.00,0.00,999.00,0.00,0.00,999.00,999.00,999.00,30.43,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00
14/07/2015 9:03 AM,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,9.90,999.00,999.00,999.00,0.00,999.00,0.00,0.00,999.00,999.00,999.00,30.43,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00
14/07/2015 9:04 AM,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,9.90,999.00,999.00,999.00,0.00,999.00,0.00,0.00,999.00,999.00,999.00,30.43,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00
14/07/2015 9:05 AM,999.00,999.00,999.00,999.00,999.00,999.00,0.00,0.00,0.00,11.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.97,0.00,0.00,0.00,0.00,1.17,0.00,0.43,0.00,0.07
14/07/2015 9:06 AM,1.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.97,0.00,0.00,0.00,0.00,1.17,0.00,0.43,0.00,0.07
14/07/2015 9:07 AM,1.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.97,0.00,0.00,0.00,0.00,1.17,0.00,0.43,0.00,0.07
14/07/2015 9:08 AM,1.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.97,0.00,0.00,0.00,0.00,1.17,0.00,0.43,0.00,0.07
14/07/2015 9:09 AM,4.50,3.17,0.50,0.00,3.13,0.00,3.07,0.00,0.00,15.33,0.00,0.10,2.57,0.00,0.00,0.00,0.00,0.00,0.00,2.17,16.07,0.00,0.00,0.00,3.23,3.57,0.00,2.67,0.00,4.03
14/07/2015 9:10 AM,4.50,3.17,0.50,0.00,3.13,0.00,3.07,0.00,0.00,15.33,0.00,0.10,2.57,0.00,0.00,0.00,0.00,0.00,0.00,2.17,16.07,0.00,0.00,0.00,3.23,3.57,0.00,2.67,0.00,4.03
14/07/2015 9:11 AM,4.50,3.17,0.50,0.00,3.13,0.00,3.07,0.00,0.00,15.33,0.00,0.10,2.57,0.00,0.00,0.00,0.00,0.00,0.00,2.17,16.07,0.00,0.00,0.00,3.23,3.57,0.00,2.67,0.00,4.03
